X,Y,ID
-0.035,-0.04,60.0
-0.035,-0.012,61.0
-0.035,-0.012,62.0
0.0,-0.045,63.0
0.0,-0.045,64.0
-0.035,-0.012,65.0
0.0,-0.045,66.0
0.0,-0.045,67.0
-0.04,0.0,68.0
0.0,-0.045,69.0
0.0,0.0,70.0
0.035,0.04,71.0
-0.035,0.04,72.0
-0.035,0.04,73.0
-0.035,0.04,74.0
-0.035,0.04,75.0
0.0,0.045,76.0
-0.035,0.012,77.0
-0.035,0.012,78.0
0.0,0.045,79.0
0.0,0.045,80.0
0.0,0.045,81.0
0.0,0.02,82.0
0.0,0.02,83.0
-0.04,0.0,84.0
0.0,0.02,85.0
0.0,0.0,86.0
0.035,0.04,87.0
0.035,0.04,88.0
0.035,0.04,89.0
0.035,0.04,90.0
0.035,0.04,91.0
0.035,0.04,92.0
0.035,0.04,93.0
0.035,0.012,94.0
0.035,0.012,95.0
0.035,0.012,96.0
0.0,0.045,97.0
0.0,0.045,98.0
0.0,0.02,99.0
0.0,0.02,100.0
0.0,0.02,101.0
0.04,0.0,102.0
0.0,0.02,103.0
0.0,0.0,104.0
0.035,-0.04,105.0
0.035,-0.04,106.0
0.035,-0.04,107.0
0.035,-0.04,108.0
0.035,-0.04,109.0
0.035,-0.04,110.0
0.02,-0.04,111.0
0.08,0.0,112.0
0.08,0.0,113.0
0.04,0.0,114.0
0.0,0.0,115.0
